"CID","CanonicalSMILES","IsomericSMILES"
698112,"C1=CC=C(C=C1)C2=CN3C(=N2)SC(=N3)S(=O)(=O)N","C1=CC=C(C=C1)C2=CN3C(=N2)SC(=N3)S(=O)(=O)N"
702558,"C1=CC=C2C(=C1)C(=O)N(C2=O)C(CC3=CNC4=CC=CC=C43)C(=O)O","C1=CC=C2C(=C1)C(=O)N(C2=O)[C@@H](CC3=CNC4=CC=CC=C43)C(=O)O"
753704,"C1=CC(=CC=C1C2=CSC(=N2)NC3=CC=C(C=C3)O)Cl","C1=CC(=CC=C1C2=CSC(=N2)NC3=CC=C(C=C3)O)Cl"
781301,"COC1=CC=C(C=C1)CNCC2=CC=CC3=CC=CC=C32","COC1=CC=C(C=C1)CNCC2=CC=CC3=CC=CC=C32"
817368,"C1=CC=C(C=C1)C2=CC(=NC=N2)I","C1=CC=C(C=C1)C2=CC(=NC=N2)I"
824226,"C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N)N","C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N)N"
836002,"C1=CC=NC(=C1)C(=O)NC2=CC(=CC=C2)Cl","C1=CC=NC(=C1)C(=O)NC2=CC(=CC=C2)Cl"
872445,"C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)Cl)C=O","C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)Cl)C=O"
899323,"CC(C)(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2","CC(C)(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2"
959043,"CC1=CC(=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC=CC=C3)C","CC1=CC(=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC=CC=C3)C"
969516,"COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O","COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O"
1069686,"CCOC1=CC=C(C=C1)NC2=NC(=CS2)C3=C(N=C4N3C=CC=C4)C","CCOC1=CC=C(C=C1)NC2=NC(=CS2)C3=C(N=C4N3C=CC=C4)C"
